step,train_loss,valid_loss,type_loss,beat_loss,position_loss,pitch_loss,duration_loss,instrument_loss
1000,6.677622890472412,6.541715304056804,0.000922642313526012,0.09219139069318771,0.19974055762092272,0.694346641500791,0.6467516372601191,0.001475978812474447
2000,5.579276704788208,5.398595571517944,0.00024252514170560366,0.06371688718597095,0.16177302226424217,0.5263068725665411,0.5973104437192281,0.00029914699431780417
3000,4.173383522033691,3.9748006065686545,0.00011813081816095898,0.048699697790046535,0.11576019103328387,0.369857852657636,0.4591388925909996,0.00012539169165393105
4000,3.749183440208435,3.7146188219388327,0.00011290855786683096,0.044467104598879814,0.10639981490870316,0.3401581098635991,0.4374092717965444,0.00010750843049815255
5000,3.425097179412842,3.6176153818766275,0.00011715843781227402,0.0429169749841094,0.10485708403090636,0.32796701540549594,0.42842788994312286,0.00011772826538466082
6000,3.242992639541626,3.5902024110158286,0.00010630901845350611,0.043239434560139976,0.102486922716101,0.32291078319152194,0.42869563152392703,0.00011151390850727694
7000,3.0707215785980226,3.6556660731633506,0.00010018487387242203,0.0463660154491663,0.10878634639084339,0.322992446521918,0.435564786195755,0.00010672084271353317
8000,2.7710089921951293,3.7865850925445557,9.067514900114777e-05,0.04858860901246468,0.11568159920473893,0.33138925085465115,0.4507911577820778,0.00010496078320443303
9000,2.479196643829346,3.991010288397471,9.851131013268362e-05,0.05514350657661756,0.12784342529873052,0.3407041331132253,0.47385429342587787,0.00010870684312180856
10000,2.4757835626602174,4.164709647496541,0.00010081334915904942,0.057117484509944916,0.13275862174729505,0.35199425369501114,0.4990902940432231,0.00011593672399120199
11000,2.016180717945099,4.426433861255646,0.00010025798236294274,0.06239616001645724,0.14470343043406805,0.3639257823427518,0.535367118815581,0.00011568839050823954
12000,1.894183909893036,4.72281281153361,0.00010258851883312066,0.06783872346083324,0.15628071936468282,0.38198403020699817,0.5743815501530966,0.0001156124329308265
13000,1.7320184230804443,4.801343123118083,0.00012511016149119314,0.06857450151195128,0.15560339018702507,0.38812388231356937,0.5877577861150106,0.0001511584327431592
14000,1.5630455017089844,5.065380334854126,0.00010638686670461084,0.07337577547878027,0.16739100341995558,0.40458370993534726,0.6207613001267115,0.0001268972955491184
